Treatment Variable,Target Variable,Method,Control,Treatment Level,ATE,Lower Bound,Upper Bound
ACETOUCH,MENTHLTH,BaseXRegressor (XGBoost),Never,Once,2.3674462708782387,2.008054184232046,2.726838357524432
ACETOUCH,MENTHLTH,BaseXRegressor (XGBoost),Never,More than once,3.741351180843312,3.441129223404827,4.041573138281796
ACETOUCH,MENTHLTH,BaseDRLearner (XGBoost),Never,Once,2.369008907818932,1.9994028706959115,2.738614944941953
ACETOUCH,MENTHLTH,BaseDRLearner (XGBoost),Never,More than once,3.672817658487585,3.369058344710357,3.976576972264813
ACETOUCH,MENTHLTH,BaseRLearner (XGBoost),Never,Once,2.3418229308625107,2.3401861253216203,2.343459736403401
ACETOUCH,MENTHLTH,BaseRLearner (XGBoost),Never,More than once,3.6943088531585255,3.6929995954742623,3.695618110842789
ACETTHEM,MENTHLTH,LRS Regressor,Never,Once,3.078868296981334,2.6228425676529725,3.534894026309696
ACETTHEM,MENTHLTH,LRS Regressor,Never,More than once,5.069501549883183,4.683929619938619,5.455073479827748
ACETTHEM,MENTHLTH,Neural Network (MLP),Never,Once,1.888262113437532,1.4421493241781156,2.3343749026969487
ACETTHEM,MENTHLTH,Neural Network (MLP),Never,More than once,4.601837919758546,4.223755075447463,4.97992076406963
ACETTHEM,MENTHLTH,BaseXRegressor (XGBoost),Never,Once,2.800415789295839,2.396182980065889,3.204648598525789
ACETTHEM,MENTHLTH,BaseXRegressor (XGBoost),Never,More than once,4.156924038679504,3.801383355092538,4.51246472226647
ACETTHEM,MENTHLTH,BaseDRLearner (XGBoost),Never,Once,2.762277326267203,2.3446463369578043,3.179908315576602
ACETTHEM,MENTHLTH,BaseDRLearner (XGBoost),Never,More than once,4.233114717140268,3.872508643935869,4.593720790344666
ACETTHEM,MENTHLTH,BaseRLearner (XGBoost),Never,Once,2.796285087546313,2.7944003203396446,2.7981698547529823
ACETTHEM,MENTHLTH,BaseRLearner (XGBoost),Never,More than once,4.123540018014463,4.121969311193188,4.125110724835738
ACEHVSEX,MENTHLTH,LRS Regressor,Never,Once,4.245058327521168,3.5805204898002443,4.909596165242091
ACEHVSEX,MENTHLTH,LRS Regressor,Never,More than once,5.767838386740412,5.257687914244986,6.277988859235837
