Treatment Variable,Target Variable,Method,Control,Treatment Level,ATE,Lower Bound,Upper Bound
ACESWEAR,ADDEPEV3,BaseRLearner (XGBoost),Never,Once,0.0551312282535019,0.0550695289274083,0.0551929275795955
ACESWEAR,ADDEPEV3,BaseRLearner (XGBoost),Never,More than once,0.1686461963695301,0.1686147067126205,0.1686776860264398
ACETOUCH,ADDEPEV3,LRS Regressor,Never,Once,0.1667507772080693,0.1475885396901661,0.1859130147259725
ACETOUCH,ADDEPEV3,LRS Regressor,Never,More than once,0.2668076062736214,0.2521711386816666,0.2814440738655762
ACETOUCH,ADDEPEV3,Neural Network (MLP),Never,Once,0.1617587529833558,0.1426763962500083,0.1808411097167033
ACETOUCH,ADDEPEV3,Neural Network (MLP),Never,More than once,0.2734746978640849,0.2591704939257881,0.2877789018023816
ACETOUCH,ADDEPEV3,BaseXRegressor (XGBoost),Never,Once,0.1397749815525212,0.1221951981395976,0.1573547649654448
ACETOUCH,ADDEPEV3,BaseXRegressor (XGBoost),Never,More than once,0.2219411219858688,0.2082533878343125,0.2356288561374251
ACETOUCH,ADDEPEV3,BaseDRLearner (XGBoost),Never,Once,0.1414744664465532,0.1234756519903083,0.1594732809027981
ACETOUCH,ADDEPEV3,BaseDRLearner (XGBoost),Never,More than once,0.2249970161009186,0.2111813815790208,0.2388126506228165
ACETOUCH,ADDEPEV3,BaseRLearner (XGBoost),Never,Once,0.1412042296761374,0.141125657228185,0.1412828021240898
ACETOUCH,ADDEPEV3,BaseRLearner (XGBoost),Never,More than once,0.2210682646953624,0.2210093027906637,0.2211272266000611
ACETTHEM,ADDEPEV3,LRS Regressor,Never,Once,0.177887762951074,0.1561517657309197,0.1996237601712282
ACETTHEM,ADDEPEV3,LRS Regressor,Never,More than once,0.2740809893373037,0.2569959304186855,0.2911660482559219
ACETTHEM,ADDEPEV3,Neural Network (MLP),Never,Once,0.1200658268728864,0.0977401168841233,0.1423915368616495
ACETTHEM,ADDEPEV3,Neural Network (MLP),Never,More than once,0.323418798251531,0.3066792667335555,0.3401583297695065
ACETTHEM,ADDEPEV3,BaseXRegressor (XGBoost),Never,Once,0.1632517133164666,0.143569732123581,0.1829336945093522
ACETTHEM,ADDEPEV3,BaseXRegressor (XGBoost),Never,More than once,0.2363582093180454,0.2205477529569046,0.2521686656791863
ACETTHEM,ADDEPEV3,BaseDRLearner (XGBoost),Never,Once,0.1699169430499652,0.1495517111900779,0.1902821749098525
ACETTHEM,ADDEPEV3,BaseDRLearner (XGBoost),Never,More than once,0.2384985970532646,0.2224712241012523,0.2545259700052769
ACETTHEM,ADDEPEV3,BaseRLearner (XGBoost),Never,Once,0.1624058800014748,0.1623165683715187,0.1624951916314309
ACETTHEM,ADDEPEV3,BaseRLearner (XGBoost),Never,More than once,0.2340492237659863,0.2339802001775185,0.2341182473544541
ACEHVSEX,ADDEPEV3,LRS Regressor,Never,Once,0.2293879279321041,0.1995094295013661,0.2592664263628421
ACEHVSEX,ADDEPEV3,LRS Regressor,Never,More than once,0.3006312279793235,0.2790233094308008,0.3222391465278462
ACEHVSEX,ADDEPEV3,Neural Network (MLP),Never,Once,0.2308450837952787,0.2010253449313044,0.260664822659253
ACEHVSEX,ADDEPEV3,Neural Network (MLP),Never,More than once,0.3259862488514164,0.3046835864139872,0.3472889112888456
ACEHVSEX,ADDEPEV3,BaseXRegressor (XGBoost),Never,Once,0.1756355161322394,0.1498232914175679,0.2014477408469109
ACEHVSEX,ADDEPEV3,BaseXRegressor (XGBoost),Never,More than once,0.2549163548211711,0.2355667576165322,0.27426595202581
ACEHVSEX,ADDEPEV3,BaseDRLearner (XGBoost),Never,Once,0.1921684945612047,0.1646029079107806,0.2197340812116287
ACEHVSEX,ADDEPEV3,BaseDRLearner (XGBoost),Never,More than once,0.2462631227375278,0.2264265517357006,0.266099693739355
ACEHVSEX,ADDEPEV3,BaseRLearner (XGBoost),Never,Once,0.1766967541283751,0.1765741714669455,0.1768193367898047
ACEHVSEX,ADDEPEV3,BaseRLearner (XGBoost),Never,More than once,0.2540473737367801,0.2539596110859839,0.2541351363875763
ACEDEPRS,MENTHLTH,LRS Regressor,No,Yes,4.638803206938855,4.428309797847597,4.849296616030112
ACEDEPRS,MENTHLTH,Neural Network (MLP),No,Yes,4.162413293412791,3.960230156235015,4.364596430590567
ACEDEPRS,MENTHLTH,BaseXRegressor (XGBoost),No,Yes,4.155720459420761,3.958390044872854,4.353050873968668
ACEDEPRS,MENTHLTH,BaseDRLearner (XGBoost),No,Yes,4.182386757453887,3.984543060765298,4.380230454142477
ACEDEPRS,MENTHLTH,BaseRLearner (XGBoost),No,Yes,4.11754592006722,4.116702735977756,4.118389104156683
ACEDRINK,MENTHLTH,LRS Regressor,No,Yes,2.570160425653184,2.395310996109425,2.745009855196942
ACEDRINK,MENTHLTH,Neural Network (MLP),No,Yes,3.219863076229998,3.047490194108403,3.392235958351593
ACEDRINK,MENTHLTH,BaseXRegressor (XGBoost),No,Yes,2.264590654429471,2.0954488939289164,2.433732414930026
ACEDRINK,MENTHLTH,BaseDRLearner (XGBoost),No,Yes,2.252209640815245,2.0826567292718883,2.421762552358601
ACEDRINK,MENTHLTH,BaseRLearner (XGBoost),No,Yes,2.241357548687621,2.240641626691341,2.2420734706839007
ACEDRUGS,MENTHLTH,LRS Regressor,No,Yes,3.809237822040952,3.52774503552278,4.090730608559125
ACEDRUGS,MENTHLTH,Neural Network (MLP),No,Yes,4.064150159598554,3.791840633365605,4.336459685831502
ACEDRUGS,MENTHLTH,BaseXRegressor (XGBoost),No,Yes,3.1695544833285347,2.907410195498369,3.4316987711587
